Place ID,Name,Latitude,Longitude,Rating,Number of Reviews,Price Level,Address
ChIJ6b6XFwAJVDcRY1Onqjzxu38,কালী ঘোষের হোটেল (মা রেস্তোরাঁ এন্ড দধি ভান্ডার),23.8666827,91.20804299999999,5,1.0,,"V685+M6F, Radhanagar Ghosh Para Mur, Akhaura, Bangladesh"
ChIJs_CucQAJVDcRoh4LiNRO_FU,বিশাল কফি হাউস এন্ড রেস্টুরেন্ট (Bishal Coffee House & Restaurant),23.8682933,91.20609569999999,0,,,"V694+8C4, Station Road, Akhaura, Bangladesh"
ChIJbSDyKHMFVDcRAdcqPfyJQwo,Arif's canteen,24.0017919,91.1106174,5,1.0,,"Brahmanbaria Medical College, Brahmanbaria, Bangladesh"
ChIJpVuRtdMFVDcRHIMrIzwPopc,Star Hotel & Restaurent,23.9921457,91.1061521,3.8,4.0,,"X4R4+VFC, Cumilla - Sylhet Hwy, Brahmanbaria, Bangladesh"
ChIJv4OkbAAFVDcR9BsrQ3Zyjl4,kolamore,23.9969967,91.10929519999999,0,,,"X4W5+QPV, Brahmanbaria, Bangladesh"
ChIJrcGR9WcFVDcRnHbF9LXmQ6Y,Goribullah Hotel & Restaurant,23.9988976,91.10915539999999,0,,,"X4X5+HM7, Brahmanbaria 3400, Bangladesh"
ChIJXQHRjKgFVDcR74_gIhcNKp0,আব্দুল্লাহ ফুড এন্ড বেভারেজ,24.0015001,91.10996779999999,5,1.0,,"2426+P2M, Cumilla - Sylhet Hwy, Brahmanbaria, Bangladesh"
ChIJf_b6wwgFVDcRNXbbZ37Vyoo,Radwan molla,24.0019188,91.1092661,0,,,"2425+QP6, Cumilla - Sylhet Hwy, Brahmanbaria, Bangladesh"
ChIJZb2IdAkFVDcRvrXkAoh7bKA,Cafe Panshi,23.9969967,91.10929519999999,0,,,"X4W5+QPV Kumarshil Mor, Brahmanbaria, Bangladesh"
ChIJyS3eUwAFVDcREgsfROOm_O8,মা-বাবার দোয়া হোটেল,23.9933097,91.10652759999999,0,,,"X4V4+8JC, Brahmanbaria, Bangladesh"
ChIJO95gRecFVDcR7lMM330mE1w,ক্যাফে আলকাছ হোটেল এন্ড রেস্টুরেন্ট,23.9916239,91.10549760000001,4,2.0,,"আকরাম প্লাজা, পশ্চিম ব্রাহ্মাণবাড়িয়া, X4R4+J5X, ব্রাহ্মণবাড়ীয়া, Bangladesh"
